country,subnational1,initial_area_ha,extent_2010_ha,gain_2010_2020_ha,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,loss_agri_perc,loss_urban_perc,loss_wildfire_perc,avg_tc_loss,extent_2020_ha
United States,New Mexico,31486425,308899,51593,1522,3692,2937,7804,2490,7749,1785,2212,489,1818,15820,1.782,1.251,4.739,4392.545455,31438107
United States,New York,13518668,13518668,232235,6359,4983,3487,7995,8629,6584,7333,6587,5060,6432,4135,1.391,1.983,2.078,6144,13451084
United States,North Carolina,12781835,6164750,507414,85815,83090,62197,86478,95026,88420,94921,95277,66560,82680,83029,2.003,1.756,3.548,83953.90909,11858342
United States,North Dakota,18314184,18314184,8988,437,847,282,895,835,743,695,969,150,536,376,1.329,1.189,1.19,615,18307419
United States,Ohio,11993914,2688898,187052,5423,5211,4795,5497,6988,6503,7673,8298,5779,8385,5846,1.875,1.053,4.836,6399.818182,11923516
United States,Oklahoma,18104043,18104043,233324,25991,24556,15308,24232,26502,27665,27437,27354,22623,20630,21921,1.063,2.049,3.371,24019.90909,17839824
United States,Oregon,25141109,7058970,379002,57674,154215,84901,107768,67157,81145,65706,77737,56457,63553,59951,1.197,1.31,1.694,79660.36364,24264845
United States,Pennsylvania,11729833,11729833,203129,8157,10224,5335,11961,12202,14623,17878,13302,11683,12852,11984,0.993,1.942,4.019,11836.45455,11599632
United States,Rhode Island,283338,153334,3551,250,212,203,229,268,336,248,376,194,198,62,2.091,1.615,2.31,234.1818182,280762
United States,South Carolina,8012427,8012427,473639,84530,95663,66101,98121,95698,97295,93513,92121,63831,90610,72976,1.732,1.808,1.765,86405.36364,7061968
United States,South Dakota,19974629,27568,17023,519,495,1612,1434,1896,1860,1781,2187,1600,2254,1402,1.156,1.277,3.986,1549.090909,19957589
United States,Tennessee,10918204,10918204,271743,43104,32813,26531,40288,40501,41407,43698,39242,23231,32676,25194,1.863,1.741,2.765,35335,10529519
United States,Texas,68621327,4852215,523204,97895,75390,68491,104213,104370,92471,106248,94232,80143,95815,112812,1.258,1.019,7.051,93825.45455,67589247
United States,Utah,21983248,21983248,32196,6569,39611,13369,16970,21874,12472,23180,7895,13012,7846,22162,1.679,1.503,1.267,16814.54545,21798288
United States,Vermont,2494848,1823461,40076,2732,2031,888,2118,2336,3047,2007,2435,2476,3904,1717,0.983,0.989,3.804,2335.545455,2469157
United States,Virginia,10374540,10374540,332719,55663,54549,40984,56372,63425,67541,68154,67132,56524,59287,49442,2.051,1.628,2.653,58097.54545,9735467
United States,Washington,17487418,6849112,241202,67867,62333,72199,92502,73418,117732,81331,81292,50542,52520,48810,1.119,1.396,1.149,72776.90909,16686872
United States,West Virginia,6268946,6268946,87217,8459,8921,3410,7619,12728,10446,15507,12859,9594,10506,7716,1.385,1.264,4.682,9796.818182,6161181
United States,Wisconsin,16929671,5457844,423441,16196,12755,7422,17224,16376,14839,20552,18604,19994,18054,16216,1.691,1.958,3.905,16202.90909,16751439
United States,Wyoming,25329647,25329647,62790,21547,18350,18562,19252,32120,8641,33696,31929,14013,20475,25537,0.62,0.89,1.067,22192.90909,25085525
